City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Bredasdorp,ZA,51.03,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
1,Mezen,RU,32.59,light snow,65.8522,44.24,Gostevoy Dom Everest
2,Pisco,PE,65.01,mist,-13.7,-76.2167,Hotel San Isidro Oficial
3,Tasiilaq,GL,35.76,overcast clouds,65.6145,-37.6368,The Red House
4,Atuona,PF,78.19,clear sky,-9.8,-139.0333,Villa Enata
5,Upernavik,GL,19.74,few clouds,72.7868,-56.1549,Café de Upernavik
6,Busselton,AU,63.55,overcast clouds,-33.65,115.3333,Observatory Guest House
7,Hilo,US,82.13,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
8,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
9,Ushuaia,AR,51.46,clear sky,-54.8,-68.3,Albatross Hotel
10,Warragul,AU,58.1,clear sky,-38.1667,145.9333,Comfort Inn & Suites Warragul
11,Nurota,UZ,68.13,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
12,Meadow Lake,US,85.48,clear sky,34.8014,-106.5436,TumbleWeed RV Park
13,Barrow,US,30.22,overcast clouds,71.2906,-156.7887,King Eider Inn
14,Rikitea,PF,76.24,moderate rain,-23.1203,-134.9692,People ThankYou
15,East London,ZA,63.55,light rain,-33.0153,27.9116,Tu Casa
16,Zhigansk,RU,43.52,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
17,Port Lincoln,AU,59.29,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
18,Kulhudhuffushi,MV,83.37,overcast clouds,6.6221,73.07,Haajy Guest House 1
19,Port Alfred,ZA,56.17,moderate rain,-33.5906,26.891,The Halyards Hotel
20,Narsaq,GL,43.02,broken clouds,60.9167,-46.05,Sleep In Narsaq
21,Matara,LK,79.97,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
22,Sao Miguel Do Araguaia,BR,55.45,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
23,Jamestown,US,62.24,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,Ponta Do Sol,PT,66.83,scattered clouds,32.6667,-17.1,Hotel do Campo
25,Huicungo,PE,68.85,broken clouds,-7.2833,-76.8,Gran Pajaten Trek
26,Palana,RU,37.18,light rain,59.1167,159.9667,Chikago
27,Villamontes,BO,51.98,clear sky,-21.25,-63.5,Hotel Raldes
28,Hermanus,ZA,55.69,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
29,Moroto,UG,65.23,overcast clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
30,Haines Junction,CA,55.35,scattered clouds,60.7522,-137.5108,Parkside Inn
31,Punta Arenas,CL,41.11,light intensity drizzle,-53.15,-70.9167,Hotel Hain
33,Nikolskoye,RU,37.87,broken clouds,59.7035,30.7861,Tourist House - Sablino
34,Noumea,NC,80.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
35,Morwell,AU,57.34,clear sky,-38.2333,146.4,Always Welcome Motel
36,Klaksvik,FO,48.99,overcast clouds,62.2266,-6.5889999999999995,Airbnb rooms
37,Bethel,US,57.63,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
38,Alofi,NU,78.69,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
39,Alta Floresta,BR,61.02,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
40,Matay,EG,76.14,broken clouds,28.419,30.7792,Nag Aespen
41,Skibbereen,IE,55.11,broken clouds,51.55,-9.2667,The West Cork Hotel
42,Albany,US,57.67,overcast clouds,42.6001,-73.9662,
43,Verkhnyaya Inta,RU,33.01,overcast clouds,65.9811,60.3094,
44,Coquimbo,CL,55.13,clear sky,-29.9533,-71.3436,Hotel San Juan
45,Puerto Ayora,EC,73.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
46,Charters Towers,AU,77.86,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
47,Wufeng,CN,53.29,overcast clouds,27.45,104.8333,中山宾馆
48,Port Blair,IN,78.84,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
49,Bryan,US,83.88,clear sky,30.6744,-96.37,Best Western Premier Bryan College Station
50,Isangel,VU,78.76,heavy intensity rain,-19.55,169.2667,Tanna Lodge
51,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
52,Nanortalik,GL,36.54,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
53,Lavrentiya,RU,33.84,overcast clouds,65.5833,-171.0,
54,Geraldton,AU,68.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
55,Tuktoyaktuk,CA,33.8,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
56,Los Algarrobos,PA,73.81,broken clouds,8.5,-82.4333,Waterfall Hostel
