City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Christchurch,NZ,-43.5333,172.6333,38.95,72,31,4.61,scattered clouds
1,Plastun,RU,44.7561,136.2939,45.64,95,58,2.91,broken clouds
2,Kodiak,US,57.79,-152.4072,44.73,78,100,6.82,overcast clouds
3,New Norfolk,AU,-42.7826,147.0587,45.9,82,8,2.26,clear sky
4,Khatanga,RU,71.9667,102.5,28.9,89,82,9.71,broken clouds
5,Ossora,RU,59.2353,163.0719,33.82,99,100,1.7,overcast clouds
6,Cape Town,ZA,-33.9258,18.4232,60.28,70,40,10.36,scattered clouds
7,Walvis Bay,NA,-22.9575,14.5053,61.09,71,0,23.62,clear sky
8,Bambous Virieux,MU,-20.3428,57.7575,76.21,88,75,19.57,broken clouds
9,Barrow,US,71.2906,-156.7887,28.42,100,100,12.66,fog
10,Dingle,PH,10.9995,122.6711,77.74,90,100,3.2,moderate rain
11,Dunedin,NZ,-45.8742,170.5036,43.81,78,95,13.0,overcast clouds
12,Qaanaaq,GL,77.484,-69.3632,18.05,67,16,1.97,few clouds
13,Lebu,CL,-37.6167,-73.65,53.46,86,85,9.17,overcast clouds
14,Luz,BR,-19.8014,-45.6856,69.48,33,0,2.66,clear sky
15,Port Alfred,ZA,-33.5906,26.891,57.18,95,100,3.0,overcast clouds
16,Busselton,AU,-33.65,115.3333,57.0,85,2,6.85,clear sky
17,Albany,US,42.6001,-73.9662,75.67,66,38,3.0,scattered clouds
18,Bluff,NZ,-46.6,168.3333,47.8,71,83,33.93,broken clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,100,5.75,overcast clouds
20,Lanzhou,CN,36.0564,103.7922,65.37,50,100,6.98,overcast clouds
21,Road Town,VG,18.4167,-64.6167,86.04,66,20,11.5,few clouds
22,Hilo,US,19.7297,-155.09,83.28,94,67,1.01,broken clouds
23,Mataura,NZ,-46.1927,168.8643,47.48,88,100,13.76,light rain
24,Yamada,JP,39.4667,141.95,57.36,63,100,4.52,overcast clouds
25,Erzin,TR,36.9559,36.2,70.88,40,0,5.64,clear sky
26,Buraydah,SA,26.326,43.975,108.05,6,0,6.71,clear sky
27,Eyl,SO,7.9803,49.8164,82.78,73,48,24.09,scattered clouds
28,East London,ZA,-33.0153,27.9116,58.14,94,20,13.8,light rain
29,Rio Claro,BR,-22.4114,-47.5614,65.89,43,0,3.42,clear sky
30,San Nicolas,PH,18.1725,120.5953,76.91,94,100,6.91,moderate rain
31,Punta Arenas,CL,-53.15,-70.9167,42.91,87,100,6.91,overcast clouds
32,Cidreira,BR,-30.1811,-50.2056,61.16,64,0,9.53,clear sky
33,Avarua,CK,-21.2078,-159.775,75.25,78,75,5.75,broken clouds
34,Saint-Philippe,RE,-21.3585,55.7679,76.59,85,53,10.56,light rain
35,Codrington,AU,-38.2667,141.9667,44.02,90,11,6.4,few clouds
36,Hobart,AU,-42.8794,147.3294,46.26,89,75,10.36,broken clouds
37,Sao Filipe,CV,14.8961,-24.4956,75.6,71,48,10.4,scattered clouds
38,Trat,TH,12.5,102.5,81.91,96,100,3.36,overcast clouds
39,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.43,86,98,0.87,overcast clouds
40,Te Anau,NZ,-45.4167,167.7167,43.02,89,95,1.34,overcast clouds
41,Stepantsevo,RU,56.1314,41.7032,46.99,53,76,7.74,broken clouds
42,Ribeira Grande,PT,38.5167,-28.7,64.8,82,75,1.14,broken clouds
43,Boa Vista,BR,2.8197,-60.6733,84.18,74,75,3.44,broken clouds
44,Mahebourg,MU,-20.4081,57.7,76.24,88,75,19.57,broken clouds
45,Dudinka,RU,69.4058,86.1778,45.63,75,100,9.15,overcast clouds
46,San Isidro,PE,-12.1167,-77.05,62.19,88,100,5.75,overcast clouds
47,Castro,BR,-24.7911,-50.0119,61.02,44,0,3.69,clear sky
48,Rikitea,PF,-23.1203,-134.9692,73.22,79,100,7.85,light rain
49,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,64,73,5.93,broken clouds
50,Altay,CN,47.8667,88.1167,62.08,53,7,7.11,clear sky
51,Upernavik,GL,72.7868,-56.1549,29.32,80,90,13.06,overcast clouds
52,Zhangye,CN,38.9342,100.4517,69.03,27,100,2.13,overcast clouds
53,Hermanus,ZA,-34.4187,19.2345,56.8,67,65,5.86,light rain
54,Djenne,ML,13.9061,-4.5533,106.02,14,55,12.59,broken clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,73,40,18.41,scattered clouds
56,Ushuaia,AR,-54.8,-68.3,46.06,61,40,20.71,scattered clouds
57,Butaritari,KI,3.0707,172.7902,80.82,76,87,12.28,overcast clouds
58,Chokurdakh,RU,70.6333,147.9167,29.05,96,99,8.34,overcast clouds
59,Fairview,US,40.8126,-73.999,71.55,71,0,11.5,mist
60,Ostrovnoy,RU,68.0531,39.5131,33.6,66,100,9.22,overcast clouds
61,Puerto Leguizamo,CO,-0.1934,-74.7819,77.47,74,99,1.3,overcast clouds
62,Jamestown,US,42.097,-79.2353,74.05,67,0,9.22,clear sky
63,Fortuna,US,40.5982,-124.1573,53.92,69,0,9.22,clear sky
64,Yerbogachen,RU,61.2767,108.0108,47.97,74,100,4.27,overcast clouds
65,Dongsheng,CN,39.8161,109.9776,65.77,27,63,5.17,broken clouds
66,Lagoa,PT,39.05,-27.9833,62.17,83,100,12.53,overcast clouds
67,Mangan,IN,27.5167,88.5333,72.27,86,98,2.17,overcast clouds
